============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> Carbon(  6 um) ==============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   96  1 .1671576E+07   6000139E-02 -.2379E+03  .8217E+03   .9770536 -.0375037  .2096659
T   97  1 .1717430E+07   6000094E-02 -.4432E+03  .6864E+03   .9996187  .0076572  .0265310
T   98  1 .1673334E+07   6000013E-02  .6296E+03  .6569E+02   .9997421  .0227043 -.0005409
T   99  1 .1679645E+07   6000169E-02  .6034E+02 -.3623E+03   .9996876 -.0016030 -.0249431
T  100  1 .1684069E+07   6000082E-02 -.6061E+03  .2476E+04   .9978123 -.0262698  .0606667
T  101  1 .1680306E+07   6000087E-02  .6428E+02 -.4007E+02   .9999661 -.0071024  .0041619
T  102  1 .1718069E+07   6000007E-02 -.2564E+03  .2018E+03   .9999216 -.0020270  .0123565
T  103  1 .1706604E+07   6000092E-02 -.6517E+03 -.2132E+02   .9998676 -.0160377  .0027668
T  104  1 .1672108E+07   6000128E-02  .7961E+02 -.1221E+03   .9999552  .0069277 -.0064523
T  105  1 .1692945E+07   6000044E-02  .2287E+03  .2105E+03   .9999866 -.0028091  .0043513
T  106  1 .1678683E+07   6000138E-02 -.3201E+02 -.1423E+03   .9999795 -.0063612 -.0007530
T  107  1 .1690850E+07   6000011E-02 -.1717E+03  .2766E+03   .9998902 -.0001267  .0148147
T  108  1 .1689921E+07   6000102E-02 -.5842E+03 -.1901E+04   .9993981 -.0217790 -.0270034
T  109  1 .1681925E+07   6000074E-02  .3769E+03  .1331E+03   .9999069  .0136366  .0005026
T  110  1 .1677176E+07   6000124E-02  .4278E+03  .2740E+03   .9999038  .0039937  .0132806
T  111  1 .1684798E+07   6000011E-02 -.3839E+03 -.2685E+03   .9998467 -.0145018 -.0098074
T  112  1 .1693807E+07   6000071E-02  .2572E+03 -.1547E+02   .9999619  .0083635 -.0025151
T  113  1 .1693918E+07   6000152E-02  .4706E+02 -.3419E+03   .9998644  .0130754 -.0100156
T  114  1 .1673611E+07   6000094E-02 -.6114E+02  .2384E+03   .9999629  .0073229  .0045461
T  115  1 .1675664E+07   6000105E-02 -.1448E+03 -.5399E+03   .9998671  .0024550 -.0161141
T  116  1 .1670510E+07   6000048E-02 -.3265E+03  .4785E+03   .9998792 -.0060924  .0142963
T  117  1 .1670333E+07   6000147E-02 -.5722E+03 -.3829E+03   .9997771 -.0148194 -.0150380
T  118  1 .1699102E+07   6000023E-02  .2883E+02 -.1005E+03   .9999905 -.0009805 -.0042565
T  119  1 .1702179E+07   6000131E-02 -.2162E+03  .5443E+03   .9998791  .0037967  .0150803
T  120  1 .1701526E+07   6000169E-02  .1487E+03  .3369E+03   .9998590  .0130256  .0106017
T  121  1 .1697633E+07   6000052E-02 -.3332E+03 -.1072E+02   .9999664 -.0079635 -.0019581
